[OBJECTS]
# type	x	y	ani_set_id	extra_settings per object type
# type: 0 = Sophia, 1 = Jason, 2 = BigJason , 3 = Brick, 4 = Golem, 5 = Domes, 52 = portal, 53 = sceneInf, 54 = SelectBulletScr
# Player extra_settings	isActive
# Sophia
0	0	0	0	0
# Jason
1	0	0	1	0
# BigJason
2	118	1875	2	1
# Golem
#4	1300	1120	4
#4	1100	1120	4
# Domes
#5	1050	1100	5
#5	1200	1075	5
# Worms
#6	1060	1060	6
# Floaters
#7	110	2938	7
# Skulls
#8	1180	1120	8
# Insect
#9	130	1120	9
# Orbs
#10	110	2938	10
# Ship
#11	1180	1120	11

# Eyeballs======================================
#SCENE 1
#12	313	1843	12	0
#12	422	1944	12	0
#SCENE 23
12	179	841	12	0
#SCENE 24
12	329	827	12	6
12	358	887	12	6
12	409	834	12	6
#SCENE 25
12	578	839	12	6
12	586	882	12	6
12	658	830	12	6
12	652	903	12	6

# Teleporters====================================
#13	1180	1120	13
#SCENE 2
13	630	1895	13	0
#SCENE 3
13	858	1801	13	6
#SCENE 4
13	1073	1838	13	6
13	1222	1869	13	6
13	1111	1959	13	6
#SCENE 19
13	327	1103	13	6
13	438	1109	13	6
13	433	1185	13	6

# Cannons=========================================
#14	250	2938	14
#SCENE 13
14	391	1404	14	6
#SCENE 8	
14	564	1642	14	6
#SCENE 23
14	132	908	14	6
#SCENE 26
14	948	845	14	6

# Rock OVH==================================
#SCENE 2
93	592	1824	93
93	560	1856	93
93	592	1888	93
93	656	1920	93
93	688	1952	93
93	688	1856	93
93	656	1856	93
93	562	1952	93
93	624	1920	93



#Item
#80	150	2938	80	0
#80	1250	1160	80	1
#80	1300	1160	80	2
#80	1350	1160	80	3
#80	1400	1160	80	4

#BOSS
100	313	1843	100	1

# BRICK 
# --- platform (hint: I created the list using Excel!) ----
# ID	X	Y	ani_set_id	width	height
3	256	736	3	256	32
3	480	736	3	64	123
3	512	736	3	256	32
3	736	736	3	64	123
3	736	912	3	64	80
3	480	912	3	64	80
3	1024	736	3	256	32
3	1248	736	3	32	256
3	768	736	3	112	32
3	912	736	3	112	32
3	992	736	3	64	256
3	543	1120	3	193	48
3	768	480	3	32	256
3	768	480	3	256	32
3	992	480	3	32	256


# Thorn OVERHEAD
# ID	X	Y	ani_set_id	width	height
#92	1180	1120	92	320	16
#SCENE 3
92	800	1824	92	80	44
92	912	1824	92	80	44
92	800	1936	92	16	15
92	800	1952	92	192	32
92	864	1920	92	64	32
92	976	1936	92	16	16
#SCENE 8
92	544	1568	92	80	64
92	576	1632	92	48	32
92	544	1664	92	80	64
92	656	1568	92	80	32
92	656	1600	92	16	31
92	704	1600	92	32	31
92	656	1632	92	79	32
92	656	1664	92	16	64
92	704	1664	92	32	64
92	674	1696	92	30	32
#SCENE 6
92	32	1568	92	80	0
92	64	1616	92	96	14
92	32	1680	92	192	48
92	144	1568	92	80	14
92	176	1600	92	48	30
#SCENE 13
92	288	1312	92	80	44
92	288	1376	92	64	78
92	352	1440	92	126	32
92	416	1312	92	64	61
#SCENE 23
92	32	932	92	80	32
92	32	800	92	32	128
92	64	800	92	124	14
92	192	816	92	32	44
92	160	932	92	64	32
#SCENE 25
92	800	800	92	80	62
92	832	864	92	96	14
92	912	800	92	80	14
92	960	816	92	32	144
92	800	912	92	32	48
92	832	928	92	96	32
92	928	912	92	32	48




# --- SCENE PORTAL ----
#tex_ID	x	y	scene portal des_scene dir	type	x_des	y_des	ani_set
84	224	1888	0	0	1	-1	700	290	1888	52
84	112	1904	0	1	0	1	900	0	0	52
84	256	1888	1	0	0	1	700	222	1888	52
84	480	1888	1	1	2	-1	700	546	1888	52
84	368	1776	1	2	7	-1	800	368	1757	52
84	512	1888	2	0	1	1	700	477	1888	52
84	736	1888	2	1	3	-1	700	802	1888	52
84	624	1776	2	2	8	-1	800	624	1757	52
84	768	1888	3	0	2	1	700	733	1888	52
84	992	1888	3	1	4	-1	700	1058	1888	52
84	880	1776	3	2	9	-1	800	880	1757	52
84	1024	1888	4	0	3	1	700	989	1888	52
84	1248	1888	4	1	5	-1	700	1314	1888	52
84	1280	1888	5	0	4	1	700	1245	1888	52
84	224	1632	6	0	7	-1	700	290	1632	52
84	112	1520	6	1	12	-1	800	112	1501	52
84	256	1632	7	0	6	1	700	221	1632	52
84	368	1760	7	1	1	1	800	368	1794	52
84	624	1760	8	0	2	1	800	624	1794	52
84	624	1520	8	1	14	-1	800	624	1501	52
84	992	1632	9	0	10	-1	700	1058	1632	52
84	880	1760	9	1	3	1	800	880	1794	52
84	1024	1632	10	0	9	1	700	989	1632	52
84	1248	1632	10	1	11	-1	700	1314	1632	52
84	1280	1632	11	0	10	1	700	1245	1632	52
84	1392	1520	11	1	17	-1	800	1392	1501	52
84	112	1504	12	0	6	1	800	112	1538	52
84	480	1376	13	0	14	-1	700	546	1376	52
84	368	1264	13	1	19	-1	800	368	1245	52
84	512	1376	14	0	13	1	700	477	1376	52
84	736	1376	14	1	15	-1	700	802	1376	52
84	624	1504	14	2	8	1	800	624	1538	52
84	624	1264	14	3	20	-1	800	624	1245	52
84	768	1376	15	0	14	1	700	733	1376	52
84	992	1376	15	1	16	-1	700	1058	1376	52
84	880	1264	15	2	21	-1	800	881	1245	52
84	1024	1376	16	0	15	1	700	989	1376	52
84	1136	1264	16	1	22	-1	800	1136	1245	52
84	1392	1504	17	0	11	1	800	1392	1538	52
84	224	1120	18	0	19	-1	700	290	1120	52
84	112	1008	18	1	23	-1	800	112	989	52
84	256	1120	19	0	18	1	700	221	1120	52
84	368	1248	19	1	13	1	800	368	1282	52
84	624	1248	20	0	14	1	800	624	1282	52
84	624	1008	20	1	25	-1	800	624	989	52
84	880	1248	21	0	15	1	800	880	1282	52
84	1136	1248	22	0	16	1	800	1136	1282	52
84	1136	1008	22	1	27	-1	800	1136	989	52
84	224	864	23	0	24	-1	700	290	864	52
84	112	992	23	1	18	1	800	112	1026	52
84	256	864	24	0	23	1	700	221	864	52
84	480	864	24	1	25	-1	700	546	864	52
84	512	864	25	0	24	1	700	477	864	52
84	736	864	25	1	26	-1	700	802	864	52
84	624	992	25	2	20	1	800	624	1026	52
84	768	864	26	0	25	1	700	733	864	52
84	880	752	26	1	34	-1	800	880	733	52
84	1136	992	27	0	22	1	800	1136	1026	52
84	1392	1136	28	0	0	1	900	0	0	52
84	480	96	29	0	30	-1	700	546	96	52
84	64	112	29	1	0	1	900	0	0	52
84	512	96	30	0	29	1	700	477	96	52
84	1536	368	31	0	0	1	900	0	0	52
84	64	368	32	0	0	1	900	0	0	52
84	480	608	32	1	33	-1	700	546	608	52
84	512	608	33	0	32	1	700	477	608	52
84	880	736	34	0	26	1	800	880	770	52

#======Scene INFO========
#ID	X	Y	AniSet	SceneID	W	H (Scene không có aniset nên để số linh tinh cho vui thôi)
53	0	1792	50	0	256	256
53	256	1792	50	1	256	256
53	512	1792	50	2	256	256
53	768	1792	50	3	256	256
53	1024	1792	50	4	256	256
53	1280	1792	50	5	256	256
53	0	1536	50	6	256	256
53	256	1536	50	7	256	256
53	512	1536	50	8	256	256
53	768	1536	50	9	256	256
53	1024	1536	50	10	256	256
53	1280	1536	50	11	256	256
53	0	1280	50	12	256	256
53	256	1280	50	13	256	256
53	512	1280	50	14	256	256
53	768	1280	50	15	256	256
53	1024	1280	50	16	256	256
53	1280	1280	50	17	256	256
53	0	1024	50	18	256	256
53	256	1024	50	19	256	256
53	512	1024	50	20	256	256
53	768	1024	50	21	256	256
53	1024	1024	50	22	256	256
53	0	768	50	23	256	256
53	256	768	50	24	256	256
53	512	768	50	25	256	256
53	768	768	50	26	256	256
53	1024	768	50	27	256	256
53	1280	768	50	28	256	512
53	0	0	50	29	512	256
53	512	0	50	30	512	512
53	768	0	50	31	1024	768
53	0	256	50	32	512	512
53	512	512	50	33	256	256
53	768	512	50	34	256	256

[MAP]
#id		pathMatrix			pathTileSet
2	textures\Map\mapAreaOverhead.txt	textures\Map\mapAreaOverhead.png



