# --- platform (hint: I created the list using Excel!) ----
# ID	X	Y	ani_set_id	width	height
#Scene 0
3	0	2816	3	1024	32
3	0	2816	3	32	256
3	0	3040	3	1024	32
3	0	2976	3	319	16
3	272	2984	3	16	64
3	272	2984	3	30	16
3	384	2976	3	127	16
3	400	2984	3	16	64
3	464	2984	3	16	64
3	464	2984	3	30	16
3	577	2976	3	127	16
3	593	2984	3	16	64
3	656	2984	3	16	64
3	656	2984	3	30	16
3	768	2976	3	256	16
3	784	2984	3	16	64
3	944	2816	3	80	128
3	48	2848	3	32	32
3	112	2848	3	32	48
3	176	2848	3	32	32
3	240	2848	3	32	80
3	304	2848	3	32	48
3	368	2848	3	32	32
3	432	2848	3	32	32
3	496	2848	3	32	48
3	560	2848	3	32	32
3	624	2848	3	32	80
3	688	2848	3	32	32
3	752	2848	3	32	32
3	816	2848	3	32	48
3	880	2848	3	32	80
#Scene 1
3	1024	1824	3	32	1120
3	1024	2976	3	32	96
3	1504	1824	3	32	96
3	1056	3040	3	448	32
3	1056	1840	3	80	16
3	1504	1952	3	32	992
3	1504	2976	3	32	96
3	1056	1824	3	448	16
3	1056	2800	3	80	16
3	1168	1840	3	32	16
3	1232	1840	3	32	16
3	1120	1888	3	256	32
3	1296	1840	3	208	16
3	1120	2032	3	16	16
3	1168	2032	3	32	16
3	1232	2032	3	32	16
3	1296	2032	3	32	16
3	1056	2784	3	128	16
3	1280	1920	3	32	96
3	1280	2496	3	32	96
3	1280	2752	3	32	96
3	1344	2624	3	32	96
3	1344	2880	3	32	96
3	1440	1888	3	64	32
3	1360	2032	3	144	16
3	1120	2016	3	384	16
3	1376	2144	3	64	32
3	1056	2272	3	64	32
3	1056	2528	3	64	32
3	1120	2208	3	256	32
3	1184	2720	3	256	32
3	1056	2912	3	64	32
3	1440	2400	3	64	32
3	1440	2528	3	64	32
3	1440	2656	3	64	32
3	1440	2784	3	64	32
3	1440	2912	3	64	32
3	1120	2592	3	64	32
3	1056	1952	3	128	32
3	1376	1952	3	128	32
3	1312	2336	3	128	32
3	1056	2976	3	128	32
3	1056	2080	3	320	32
3	1120	2848	3	320	32
3	1248	2976	3	256	32
3	1168	2800	3	16	16
3	1056	2336	3	192	32
3	1056	2656	3	192	32
3	1248	2592	3	192	32
3	1120	2464	3	320	32
#Scene2
3	1568	1856	3	464	16
3	1536	1952	3	512	16
3	2016	1872	3	16	48
3	1568	1872	3	16	32
3	1632	1872	3	16	32
3	1696	1872	3	16	32
3	1760	1872	3	16	32
3	1824	1872	3	16	32
3	1888	1872	3	16	32
3	1952	1872	3	16	32
3	1552	1856	3	16	64
#Scene3
3	2048	1184	3	32	736
3	2048	1952	3	32	96
3	2048	1056	3	32	96
3	2528	1056	3	32	864
3	2528	1952	3	32	96
3	2080	1056	3	448	32
3	2080	2016	3	448	32
3	2080	1120	3	64	32
3	2080	1184	3	64	32
3	2080	1312	3	64	32
3	2080	1440	3	64	32
3	2080	1568	3	64	32
3	2400	1120	3	64	32
3	2272	1376	3	64	32
3	2208	1440	3	64	32
3	2144	1504	3	64	32
3	2400	1632	3	64	32
3	2400	1824	3	64	32
3	2208	1888	3	64	32
3	2464	1952	3	64	32
3	2272	1504	3	192	32
3	2336	1888	3	192	32
3	2144	1696	3	128	32
3	2080	1952	3	128	32
3	2272	1952	3	128	32
3	2144	1248	3	16	16
3	2192	1248	3	16	16
3	2208	1312	3	16	16
3	2256	1312	3	16	16
3	2144	1376	3	16	16
3	2192	1376	3	16	16
3	2336	1440	3	16	16
3	2384	1440	3	16	16
3	2208	1568	3	16	16
3	2336	1696	3	16	16
3	2080	1888	3	16	16
3	2128	1888	3	16	16
3	2080	1760	3	16	16
3	2272	1760	3	16	16
3	2144	1264	3	64	16
3	2208	1328	3	64	16
3	2144	1392	3	64	16
3	2336	1456	3	64	16
3	2080	1904	3	64	16
3	2208	1584	3	192	16
3	2144	1840	3	192	16
3	2336	1712	3	128	16
3	2272	1776	3	128	16
3	2080	1776	3	128	16
3	2128	1760	3	80	16
3	2320	1760	3	80	16
3	2384	1696	3	80	16
3	2256	1824	3	80	16
3	2144	1824	3	80	16
3	2256	1568	3	144	16
3	2080	1632	3	256	32
#Scene 4
3	2560	1952	3	512	32
3	2560	1840	3	512	32
3	2560	1872	3	32	48
3	3040	1872	3	32	80
3	2592	1872	3	16	32
3	2656	1872	3	16	32
3	2720	1872	3	16	32
3	2784	1872	3	16	32
3	2848	1872	3	16	32
3	2912	1872	3	16	32
3	2976	1872	3	16	32
#Scene 5
3	1536	1696	3	32	96
3	1536	1184	3	32	480
3	2016	672	3	32	480
3	1536	928	3	32	224
3	1536	32	3	32	864
3	2016	32	3	32	96
3	2016	160	3	32	480
3	2016	1184	3	32	608
3	1568	32	3	448	32
3	1568	1760	3	448	32
3	1568	160	3	16	32
3	1600	160	3	32	32
3	1952	96	3	64	32
3	1952	160	3	64	32
3	1952	352	3	64	32
3	1952	608	3	64	32
3	1952	928	3	64	32
3	1952	1120	3	64	32
3	1952	1312	3	64	32
3	1952	1440	3	64	32
3	1952	1696	3	64	32
3	1568	480	3	64	32
3	1568	352	3	64	32
3	1568	800	3	64	32
3	1568	928	3	64	32
3	1568	1120	3	64	32
3	1568	1440	3	64	32
3	1568	1632	3	64	32
3	1760	160	3	64	32
3	1760	288	3	64	32
3	1760	1568	3	64	32
3	1824	1056	3	64	32
3	1632	1376	3	64	32
3	1632	736	3	64	32
3	1632	544	3	64	32
3	1888	416	3	64	32
3	1888	864	3	64	32
3	1696	480	3	64	32
3	1760	736	3	64	32
3	1696	352	3	192	32
3	1824	480	3	192	32
3	1824	672	3	192	32
3	1824	1504	3	192	32
3	1568	1248	3	192	32
3	1568	1504	3	192	32
3	1632	992	3	192	32
3	1696	1120	3	192	32
3	1760	1376	3	192	32
3	1632	368	3	64	16
3	1760	496	3	64	16
3	1696	752	3	64	16
3	1824	880	3	64	16
3	1760	1264	3	64	16
3	1696	1392	3	64	16
3	1822	224	3	128	32
3	1888	992	3	128	32
3	1888	1184	3	128	32
3	1568	1056	3	128	32
3	1568	1184	3	128	32
3	1568	1696	3	128	32
3	1824	1248	3	128	32
3	1568	608	3	256	32
3	1568	864	3	256	32
3	1696	1632	3	256	32
3	1696	896	3	32	96
3	1696	1024	3	32	96
3	1696	1536	3	32	96
3	1824	1408	3	32	96
3	1632	1120	3	32	64
#Scene 6
3	2048	160	3	96	48
3	2464	160	3	96	48
3	2208	160	3	64	48
3	2336	160	3	64	48
3	2144	192	3	64	48
3	2272	192	3	64	48
3	2400	192	3	64	48
3	2048	0	3	32	128
3	2528	0	3	32	128
3	2080	0	3	448	32
3	2080	32	3	32	16
3	2208	32	3	32	16
3	2272	32	3	32	16
3	2400	32	3	32	16
3	2160	48	3	32	16
3	2352	48	3	32	16
3	2480	48	3	32	16
3	2144	32	3	48	16
3	2336	32	3	48	16
3	2464	32	3	48	16
#Scene 7
3	2560	16	3	512	16
3	2560	32	3	32	96
3	2560	288	3	32	96
3	2560	160	3	96	128
3	2560	416	3	96	96
3	2656	480	3	16	16
3	2960	352	3	16	16
3	2656	496	3	416	16
3	2704	480	3	96	16
3	2832	480	3	240	16
3	3040	32	3	32	448
3	2720	96	3	80	16
3	2896	96	3	80	16
3	2848	352	3	80	16
3	2720	112	3	256	48
3	2912	160	3	64	128
3	2720	288	3	64	128
3	2848	368	3	64	112
3	2912	368	3	64	48
3	2656	224	3	256	64
3	2656	176	3	32	16
3	2656	432	3	32	16
3	2688	368	3	32	16
3	2688	112	3	32	16
3	2832	96	3	32	16
3	2784	368	3	32	16
3	2816	432	3	32	16
3	3008	432	3	32	16
3	3008	304	3	32	16
3	3008	176	3	32	16
3	2976	112	3	32	16
3	2976	240	3	32	16
3	2976	368	3	32	16
#Scene 8
3	2048	256	3	32	256
3	2080	256	3	480	64
3	2080	448	3	480	64
3	2464	416	3	96	32
3	2528	320	3	32	64
#Scene 9
3	2048	736	3	512	32
3	2048	544	3	512	32
3	2528	576	3	32	160
3	2048	576	3	32	64
3	2048	672	3	32	64
3	2080	608	3	64	32
3	2080	672	3	64	32
#Scene 10
3	768	1568	3	768	32
3	768	1728	3	768	32
3	768	1696	3	96	32
3	1440	1696	3	96	32
3	768	1600	3	32	64
3	1504	1600	3	32	64
#Scene 11
3	512	1056	3	32	736
3	544	1056	3	224	32
3	544	1760	3	224	32
3	736	1088	3	32	64
3	736	1696	3	32	64
3	736	1184	3	32	480
3	608	1184	3	128	32
3	672	1120	3	64	32
3	672	1632	3	64	32
3	672	1696	3	64	32
#Scene 12
3	768	1040	3	512	16
3	768	1504	3	512	16
3	768	1056	3	32	96
3	768	1184	3	32	320
3	864	1376	3	16	64
3	912	1376	3	16	64
3	992	1376	3	16	64
3	1040	1376	3	16	64
3	1056	1376	3	16	64
3	1104	1376	3	16	64
3	1040	1248	3	16	64
3	992	1248	3	16	64
3	1056	1120	3	16	64
3	1104	1120	3	16	64
3	880	1392	3	32	48
3	1008	1392	3	32	48
3	1072	1392	3	32	48
3	1072	1136	3	32	48
3	1008	1264	3	32	48
3	800	1184	3	64	128
3	928	1120	3	64	320
3	1120	1120	3	64	384
3	1184	1440	3	96	64
3	1248	1056	3	32	352
3	800	1456	3	32	16
3	832	1392	3	32	16
3	864	1264	3	32	16
3	896	1136	3	32	16
3	896	1200	3	32	16
3	896	1328	3	32	16
3	992	1200	3	32	16
3	1024	1136	3	32	16
3	1056	1264	3	32	16
3	1088	1328	3	32	16
3	1184	1328	3	32	16
3	1184	1200	3	32	16
3	1216	1136	3	32	16
3	1216	1264	3	32	16
3	1216	1392	3	32	16

# LADDER
# --- platform  ----
# ID	X	Y	ani_set_id	width	height
#49	1586	144	3	12	208
#49	538	2877	3	12	208

# Lava
# ID	X	Y	ani_set_id	width	height
#SCENE 3
90	2096	1892	90	32	14
90	2224	1828	90	32	14
90	2096	1764	90	32	14
90	2288	1764	90	32	14
90	2352	1700	90	32	14
90	2224	1572	90	32	14
90	2352	1444	90	32	14
90	2160	1380	90	32	14
90	2224	1316	90	32	14
90	2160	1252	90	32	14
#SCENE 5
90	1696	1380	90	64	14
90	1760	1252	90	64	14
90	1824	872	90	64	14
90	1696	744	90	64	14
90	1760	488	90	64	14
90	1632	360	90	64	14
#SCENE 7
90	2672	488	90	32	14
90	2800	488	90	32	14
90	2928	360	90	32	14
90	2864	104	90	32	14
90	2800	104	90	32	14
#SCENE 12
90	880	1384	90	32	14
90	1008	1384	90	32	14
90	1072	1384	90	32	14
90	1008	1256	90	32	14
90	1072	1128	90	32	14

# Thorn OVERWORLD
# ID	X	Y	ani_set_id	width	height
#SCENE 0
91	288	3024	91	112	16
91	480	3024	91	112	16
91	672	3024	91	112	16
#SCENE 1
91	1136	2800	91	32	12
91	1328	2032	91	32	12
91	1264	2032	91	32	12
91	1200	2032	91	32	12
91	1136	2032	91	32	12
91	1264	1840	91	32	12
91	1200	1840	91	32	12
91	1136	1840	91	32	12

# Thorn OVERHEAD
# ID	X	Y	ani_set_id	width	height
#92	1180	1120	92	320	16



# --- SCENE PORTAL ----
tex_ID	x	y	scene portal des_scene dir	type	x_des	y_des	ani_set
84	962	2944	0	0	1	-1	400	1088	2944	52
84	1056	2944	1	0	0	1	500	961	2944	52
84	1472	2944	1	1	5	-1	500	1600	896	52
84	1472	1920	1	2	2	-1	500	1600	1920	52
84	1568	1920	2	0	1	1	500	1471	1920	52
84	1984	1920	2	1	3	-1	500	2112	1920	52
84	2080	1920	3	0	2	1	500	1983	1920	52
84	2496	1920	3	1	4	-1	500	2624	1920	52
84	2080	1152	3	2	5	1	500	1983	1152	52
84	2592	1920	4	0	3	1	500	2495	1920	52
84	1984	128	5	1	6	-1	500	2112	128	52
84	1568	896	5	2	1	1	500	1471	2944	52
84	1984	640	5	3	9	-1	500	2112	640	52
84	1568	1152	5	4	14	1	500	1471	1152	52
84	1984	1152	5	5	3	-1	500	2112	1152	52
84	1568	1664	5	6	10	1	500	1471	1664	52
84	2080	128	6	0	5	1	500	1983	128	52
84	2496	128	6	1	7	-1	500	2624	128	52
84	2592	128	7	0	6	1	500	2495	128	52
84	2592	384	7	1	8	1	500	2495	384	52
84	2496	384	8	1	7	-1	500	2624	384	52
84	2080	640	9	0	5	1	500	1983	640	52
84	800	1664	10	0	11	1	500	703	1664	52
84	1472	1664	10	1	5	-1	500	1600	1664	52
84	704	1664	11	0	10	-1	500	832	1664	52
84	704	1152	11	1	12	-1	500	832	1152	52
84	800	1152	12	0	11	1	500	703	1152	52
84	1216	1408	12	1	13	-1	500	1344	1408	52

#======Scene INFO========
#ID	X	Y	AniSet	SceneID	W	H (Scene không có aniset nên để số linh tinh cho vui thôi)
53	0	2816	50	0	1024	256
53	1024	1792	50	1	512	1280
53	1536	1792	50	2	512	256
53	2048	1024	50	3	512	1024
53	2560	1792	50	4	512	256
53	1536	0	50	5	512	1792
53	2048	0	50	6	512	256
53	2560	0	50	7	512	512
53	2048	256	50	8	512	256
53	2048	512	50	9	512	256
53	768	1536	50	10	768	256
53	512	1024	50	11	256	768
53	768	1024	50	12	512	512
53	1280	1280	50	13	256	256
53	1280	1024	50	14	256	256

[MAP]
#id		pathMatrix			pathTileSet
1	textures\Map\mapArea.txt	textures\Map\mapArea.png



